,sex,age,Pass
581,0.0,0.8181818181818182,0.0
488,0.0,0.8636363636363636,0.0
5,1.0,0.7272727272727273,1.0
45,0.0,0.6818181818181818,0.0
424,0.0,0.7272727272727273,0.0
465,0.0,0.8181818181818182,0.0
500,1.0,0.7727272727272727,1.0
16,0.0,0.7272727272727273,0.0
48,1.0,0.6818181818181818,1.0
627,1.0,0.8181818181818182,1.0
592,0.0,0.7727272727272727,0.0
3,0.0,0.6818181818181818,0.0
586,0.0,0.7727272727272727,0.0
412,0.0,0.8181818181818182,0.0
316,0.0,0.7727272727272727,0.0
283,1.0,0.7272727272727273,1.0
433,0.0,0.6818181818181818,0.0
285,1.0,0.7272727272727273,1.0
360,0.0,0.8181818181818182,0.0
225,1.0,0.7727272727272727,1.0
26,1.0,0.6818181818181818,1.0
509,0.0,0.7272727272727273,0.0
263,1.0,0.8181818181818182,1.0
50,0.0,0.7272727272727273,0.0
229,0.0,0.7727272727272727,0.0
37,1.0,0.7272727272727273,1.0
157,0.0,0.6818181818181818,0.0
237,1.0,0.8181818181818182,1.0
622,1.0,0.8181818181818182,1.0
175,1.0,0.7727272727272727,1.0
545,1.0,0.7727272727272727,1.0
451,1.0,0.7272727272727273,1.0
194,1.0,0.7272727272727273,1.0
547,1.0,0.7272727272727273,1.0
388,0.0,0.8181818181818182,0.0
626,0.0,0.8181818181818182,0.0
553,1.0,0.7727272727272727,1.0
67,0.0,0.7272727272727273,0.0
382,0.0,0.7727272727272727,0.0
168,1.0,0.6818181818181818,1.0
588,0.0,0.7727272727272727,0.0
162,1.0,0.6818181818181818,1.0
309,1.0,0.8181818181818182,1.0
193,1.0,0.7727272727272727,1.0
629,0.0,0.7727272727272727,0.0
365,0.0,0.7727272727272727,0.0
428,0.0,0.6818181818181818,0.0
152,1.0,0.7272727272727273,1.0
390,0.0,0.8181818181818182,0.0
423,0.0,0.7272727272727273,0.0
226,0.0,0.7272727272727273,0.0
396,1.0,0.8181818181818182,1.0
519,1.0,0.7272727272727273,1.0
103,0.0,0.6818181818181818,0.0
468,1.0,0.6818181818181818,1.0
74,0.0,0.7272727272727273,0.0
506,0.0,0.9090909090909091,0.0
625,0.0,0.8181818181818182,0.0
119,1.0,0.6818181818181818,1.0
464,1.0,0.7272727272727273,1.0
630,0.0,0.8181818181818182,0.0
610,0.0,0.8636363636363636,0.0
207,1.0,0.7272727272727273,1.0
536,1.0,0.6818181818181818,1.0
421,0.0,0.9090909090909091,0.0
407,0.0,0.9545454545454546,0.0
529,0.0,0.7272727272727273,0.0
8,1.0,0.6818181818181818,1.0
453,0.0,0.7272727272727273,0.0
36,1.0,0.6818181818181818,1.0
139,0.0,0.6818181818181818,0.0
253,0.0,0.8181818181818182,0.0
303,0.0,0.7727272727272727,0.0
517,0.0,0.7272727272727273,0.0
467,0.0,0.7272727272727273,0.0
368,1.0,0.8181818181818182,1.0
59,0.0,0.7272727272727273,0.0
111,0.0,0.7272727272727273,0.0
422,0.0,0.8181818181818182,0.0
434,0.0,0.7272727272727273,0.0
425,0.0,0.6818181818181818,0.0
262,0.0,0.7727272727272727,0.0
541,0.0,0.7727272727272727,0.0
297,1.0,0.7727272727272727,1.0
150,0.0,0.6818181818181818,0.0
266,0.0,0.7727272727272727,0.0
620,0.0,0.7727272727272727,0.0
359,0.0,0.7727272727272727,0.0
572,0.0,0.7272727272727273,0.0
38,0.0,0.6818181818181818,0.0
127,0.0,0.8636363636363636,0.0
416,1.0,0.7727272727272727,1.0
307,1.0,0.7727272727272727,1.0
198,0.0,0.7272727272727273,0.0
351,1.0,0.9090909090909091,1.0
426,0.0,0.6818181818181818,0.0
146,1.0,0.7272727272727273,1.0
604,0.0,0.8181818181818182,0.0
624,0.0,0.7727272727272727,0.0
419,1.0,0.8636363636363636,1.0
574,1.0,0.9090909090909091,1.0
147,0.0,0.6818181818181818,0.0
503,0.0,0.7272727272727273,0.0
348,0.0,0.7727272727272727,0.0
325,1.0,0.7727272727272727,1.0
469,1.0,0.7272727272727273,1.0
123,1.0,0.7272727272727273,1.0
546,0.0,0.7727272727272727,0.0
96,1.0,0.7272727272727273,1.0
143,0.0,0.8181818181818182,0.0
239,0.0,0.8181818181818182,0.0
394,0.0,0.7727272727272727,0.0
452,0.0,0.7272727272727273,0.0
97,0.0,0.7272727272727273,0.0
371,0.0,0.8181818181818182,0.0
324,1.0,0.8181818181818182,1.0
279,1.0,1.0,1.0
293,0.0,0.8181818181818182,0.0
254,0.0,0.8181818181818182,0.0
400,1.0,0.8181818181818182,1.0
122,0.0,0.7272727272727273,0.0
183,0.0,0.7272727272727273,0.0
202,0.0,0.7727272727272727,0.0
438,0.0,0.7727272727272727,0.0
323,1.0,0.8181818181818182,1.0
246,1.0,0.7727272727272727,1.0
415,0.0,0.8636363636363636,0.0
501,1.0,0.7272727272727273,1.0
487,0.0,0.8181818181818182,0.0
538,0.0,0.7272727272727273,0.0
567,1.0,0.8181818181818182,1.0
571,1.0,0.8636363636363636,1.0
640,1.0,0.8181818181818182,1.0
125,1.0,0.6818181818181818,1.0
402,0.0,0.7727272727272727,0.0
511,0.0,0.7727272727272727,0.0
495,0.0,0.7272727272727273,0.0
223,0.0,0.7727272727272727,0.0
342,0.0,0.8181818181818182,0.0
53,0.0,0.6818181818181818,0.0
219,0.0,0.7727272727272727,0.0
129,1.0,0.7272727272727273,1.0
587,0.0,0.8181818181818182,0.0
515,0.0,0.8181818181818182,0.0
186,1.0,0.7727272727272727,1.0
590,0.0,0.8181818181818182,0.0
439,0.0,0.6818181818181818,0.0
619,0.0,0.8181818181818182,0.0
100,1.0,0.7272727272727273,1.0
482,0.0,0.6818181818181818,0.0
386,0.0,0.7727272727272727,0.0
628,0.0,0.7727272727272727,0.0
294,0.0,0.8181818181818182,0.0
267,1.0,0.7727272727272727,1.0
51,0.0,0.6818181818181818,0.0
441,1.0,0.7727272727272727,1.0
497,1.0,0.7727272727272727,1.0
112,0.0,0.7272727272727273,0.0
179,1.0,0.7727272727272727,1.0
611,0.0,0.8181818181818182,0.0
559,1.0,0.8181818181818182,1.0
530,1.0,0.7727272727272727,1.0
523,1.0,0.8181818181818182,1.0
373,0.0,0.7727272727272727,0.0
314,1.0,0.7727272727272727,1.0
462,0.0,0.6818181818181818,0.0
151,1.0,0.7272727272727273,1.0
171,1.0,0.7272727272727273,1.0
233,0.0,0.7727272727272727,0.0
306,1.0,0.8181818181818182,1.0
512,0.0,0.8181818181818182,0.0
164,1.0,0.7272727272727273,1.0
317,0.0,0.7727272727272727,0.0
136,1.0,0.7272727272727273,1.0
410,0.0,0.7727272727272727,0.0
576,1.0,0.8181818181818182,1.0
197,0.0,0.7727272727272727,0.0
358,0.0,0.8181818181818182,0.0
258,0.0,0.7727272727272727,0.0
232,0.0,0.7727272727272727,0.0
532,1.0,0.7272727272727273,1.0
115,1.0,0.7272727272727273,1.0
120,0.0,0.6818181818181818,0.0
445,1.0,0.6818181818181818,1.0
282,1.0,0.8181818181818182,1.0
376,0.0,0.8181818181818182,0.0
384,1.0,0.8636363636363636,1.0
224,0.0,0.8636363636363636,0.0
615,0.0,0.7727272727272727,0.0
527,1.0,0.7272727272727273,1.0
472,0.0,0.7272727272727273,0.0
347,0.0,0.7727272727272727,0.0
505,0.0,0.7727272727272727,0.0
638,1.0,0.7727272727272727,1.0
598,1.0,0.8181818181818182,1.0
548,0.0,0.7727272727272727,0.0
85,0.0,0.6818181818181818,0.0
242,1.0,0.8181818181818182,1.0
159,0.0,0.6818181818181818,0.0
524,0.0,0.7272727272727273,0.0
