,sex,age,Pass
581,0.0,1.0,0.0
488,0.0,1.0,0.0
5,1.0,0.0,0.0
45,0.0,0.0,1.0
424,0.0,0.0,1.0
465,0.0,1.0,0.0
500,1.0,0.0,0.0
16,0.0,0.0,1.0
48,1.0,0.0,0.0
627,1.0,1.0,0.0
592,0.0,0.0,1.0
3,0.0,0.0,1.0
586,0.0,0.0,1.0
412,0.0,1.0,0.0
316,0.0,0.0,1.0
283,1.0,0.0,0.0
433,0.0,0.0,1.0
285,1.0,0.0,0.0
360,0.0,1.0,0.0
225,1.0,0.0,0.0
26,1.0,0.0,0.0
509,0.0,0.0,1.0
263,1.0,1.0,0.0
50,0.0,0.0,1.0
229,0.0,0.0,1.0
37,1.0,0.0,0.0
157,0.0,0.0,1.0
237,1.0,1.0,0.0
622,1.0,1.0,0.0
175,1.0,0.0,0.0
545,1.0,0.0,0.0
451,1.0,0.0,0.0
194,1.0,0.0,0.0
547,1.0,0.0,0.0
388,0.0,1.0,0.0
626,0.0,1.0,0.0
553,1.0,0.0,0.0
67,0.0,0.0,1.0
382,0.0,0.0,1.0
168,1.0,0.0,0.0
588,0.0,0.0,1.0
162,1.0,0.0,0.0
309,1.0,1.0,0.0
193,1.0,0.0,0.0
629,0.0,0.0,1.0
365,0.0,0.0,1.0
428,0.0,0.0,1.0
152,1.0,0.0,0.0
390,0.0,1.0,0.0
423,0.0,0.0,1.0
226,0.0,0.0,1.0
396,1.0,1.0,0.0
519,1.0,0.0,0.0
103,0.0,0.0,1.0
468,1.0,0.0,0.0
74,0.0,0.0,1.0
506,0.0,1.0,0.0
625,0.0,1.0,0.0
119,1.0,0.0,0.0
464,1.0,0.0,0.0
630,0.0,1.0,0.0
610,0.0,1.0,0.0
207,1.0,0.0,0.0
536,1.0,0.0,0.0
421,0.0,1.0,0.0
407,0.0,1.0,0.0
529,0.0,0.0,1.0
8,1.0,0.0,0.0
453,0.0,0.0,1.0
36,1.0,0.0,0.0
139,0.0,0.0,1.0
253,0.0,1.0,0.0
303,0.0,0.0,1.0
517,0.0,0.0,1.0
467,0.0,0.0,1.0
368,1.0,1.0,0.0
59,0.0,0.0,1.0
111,0.0,0.0,1.0
422,0.0,1.0,0.0
434,0.0,0.0,1.0
425,0.0,0.0,1.0
262,0.0,0.0,1.0
541,0.0,0.0,1.0
297,1.0,0.0,0.0
150,0.0,0.0,1.0
266,0.0,0.0,1.0
620,0.0,0.0,1.0
359,0.0,0.0,1.0
572,0.0,0.0,1.0
38,0.0,0.0,1.0
127,0.0,1.0,0.0
416,1.0,0.0,0.0
307,1.0,0.0,0.0
198,0.0,0.0,1.0
351,1.0,1.0,0.0
426,0.0,0.0,1.0
146,1.0,0.0,0.0
604,0.0,1.0,0.0
624,0.0,0.0,1.0
419,1.0,1.0,0.0
574,1.0,1.0,0.0
147,0.0,0.0,1.0
503,0.0,0.0,1.0
348,0.0,0.0,1.0
325,1.0,0.0,0.0
469,1.0,0.0,0.0
123,1.0,0.0,0.0
546,0.0,0.0,1.0
96,1.0,0.0,0.0
143,0.0,1.0,0.0
239,0.0,1.0,0.0
394,0.0,0.0,1.0
452,0.0,0.0,1.0
